"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"1",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44191860964963,3.57533674240112,66.5817238767942
"2",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44191332951211,3.57511110305786,88.1097728212674
"3",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44184653142793,3.57424530982971,98.9098974665006
"4",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44178197041152,3.57517914772034,73.9743132432302
"5",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44171398593063,3.57332572937012,82.8699977278709
"6",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44169157248137,3.57302055358887,100.119904200236
"7",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44192616349057,3.57505474090576,102.954535945257
"8",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44166632737625,3.57570714950562,98.5267544150352
"9",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44212306062748,3.57430715560913,161.193412764867
"10",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44136256956812,3.57369561195374,214.915531031291
"11",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.48268713596167,3.60656404495239,71.6643198053042
"12",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48265985036539,3.60656423568726,73.49252628088
"13",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44128985656149,3.5742880821228,78.3528120716413
"14",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.48289560987914,3.60656356811523,74.4202503879865
"15",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.48284663829636,3.6065643787384,64.0400047063827
"16",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44161820687483,3.57221598625183,61.3707926909129
"17",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4412936239755,3.57266340255737,283.46832015117
"18",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.48291808574305,3.60656290054321,102.830543490251
"19",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44189174856579,3.57501955032349,80.1588996330897
"20",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44206181299809,3.57656965255737,112.024696954091
"21",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44208043416827,3.57430238723755,101.713502558072
"22",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44173803739563,3.57533736228943,80.8045803268751
"23",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44232711385357,3.57328858375549,90.732622897625
"24",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44165084189811,3.57363510131836,135.342788549264
"25",2,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44188137348353,3.57673807144165,76.7766171971957
"26",6,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44165548482818,3.5758376121521,118.311438655853
"27",10,"Adam","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44222551027316,3.57476940155029,95.2262807130814
"28",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44123304261404,3.57471385002136,167.324218595028
"29",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44123921496644,3.57485857009888,141.894494815667
"30",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44127452120621,3.57523856163025,105.666654658318
"31",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44118972898138,3.57457995414734,30.6503794074059
"32",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44116433139285,3.57552914619446,74.0144995013873
"33",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44123005339702,3.57640795707703,72.3361741662025
"34",2,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44146852091897,3.57386994361877,12.9467439969381
"35",6,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4409691196643,3.57519540786743,30.9214901804924
"36",10,"SGD","SELU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44113518482612,3.57495737075806,22.8373022913933
"37",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44267483043344,3.57643308639526,6.11219177643458
"38",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44235417423951,3.57403120994568,10.7088744481405
"39",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44262812686165,3.57236995697021,10.9208251794179
"40",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44222569934992,3.57627401351929,6.87312602599462
"41",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44235638556684,3.57338728904724,8.34453646739324
"42",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,8.62827115058899
"43",2,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44224334668145,3.57376651763916,6.28117411136627
"44",6,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.4422018598551,3.57898392677307,89.8513909856478
"45",10,"Adam","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,78.6468689362208
"46",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44131729737831,3.57424058914185,82.2910817543666
"47",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.48261394699471,3.60656409263611,81.753990538915
"48",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48265985036539,3.60656423568726,55.271120150884
"49",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44142789984659,3.5751531124115,49.2864698608716
"50",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.48282140736443,3.6065634727478,77.0015472094218
"51",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.48270570811949,3.60656418800354,91.523325753212
"52",2,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44139399557711,3.57485766410828,46.0207285284996
"53",6,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44107003676574,3.57280302047729,111.618197739124
"54",10,"SGD","LeakyReLU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44114638561438,3.57283220291138,468.799773649375
"55",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44281393266892,3.5740523815155,93.173382862409
"56",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.4429153935144,3.5730721950531,128.581680206458
"57",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44311491346633,3.57980275154114,79.0121686379115
"58",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44291518330533,3.57523565292358,75.5718580762545
"59",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44408450651652,3.5744122505188,99.3639842748642
"60",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,74.5882493257523
"61",2,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44298913384493,3.57093257904053,88.4451485157013
"62",6,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,71.2656757036845
"63",10,"Adam","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,72.3371230880419
"64",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44135810423873,3.57421627044678,112.418910547098
"65",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44139018759744,3.57470946311951,98.6208102226257
"66",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44143908038104,3.57426533699036,151.687289067109
"67",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44139801355307,3.57479705810547,58.6526416301727
"68",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.44135430272851,3.57444128990173,79.6107297698657
"69",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.44134298302294,3.57483253479004,111.836467540264
"70",2,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44152025070563,3.57472748756409,40.0844971656799
"71",6,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44127057619188,3.57507452964783,68.9672634442647
"72",10,"SGD","SELU",0.05,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44143738669315,3.57483835220337,87.9946568330129
"73",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44258343023755,3.57603015899658,49.5649597009023
"74",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.44304057621669,3.57521653175354,78.2335008144379
"75",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.44301818398148,3.57737727165222,60.2819603761037
"76",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44209287875317,3.57677512168884,48.4610871752103
"77",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,33.3358049114545
"78",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,NA,NA,33.7887519081434
"79",2,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44231168453679,3.57469534873962,39.3173902710279
"80",6,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,NA,NA,22.8544847289721
"81",10,"Adam","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,NA,NA,25.561688820521
"82",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.44137235850728,3.57507486343384,27.6668974955877
"83",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.48261394374133,3.60656409263611,27.1898928403854
"84",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.48265985036539,3.60656423568726,20.7602167725563
"85",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.44128089592465,3.57509074211121,25.6933453202248
"86",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.48281870795015,3.60656323432922,30.0561906139056
"87",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.4826862571453,3.60656399726868,127.713334902128
"88",2,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.44145794713477,3.57524495124817,51.3256268064181
"89",6,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.44133158414442,3.5740834236145,86.0032837629318
"90",10,"SGD","LeakyReLU",0.1,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.44107162497866,3.57353081703186,282.430868772666
"91",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.268182241917
"92",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,61.5771368900935
"93",10,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,NA,NA,63.1555150151253
"94",2,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.7984570662181
"95",6,"Adam","SELU",0.1,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA,65.8848268548648
