"","minsplit","cp","xval","CP","nsplit","rel error","xerror","xstd","is_lkh","Elapsed"
"69",1,1e-16,3,1.82559483675143e-05,117,0.982220872567184,0.985564310492263,0.00451903969102798,10.7619134222675,1.25361661116282
"104",20,1e-16,3,1.08862691127632e-05,165,0.981754351400376,0.985929730704712,0.00451937598743754,10.7614453505439,1.25361661116282
"64",50,1e-16,3,1.89103277671737e-05,86,0.983567738639623,0.985508066233963,0.0045120761731728,10.7605395311496,1.25361661116282
"117",100,1e-16,3,7.35435467678515e-06,178,0.982623397382532,0.985402646945739,0.00450616639931701,10.7604051498157,1.25361661116282
"60",1,1e-10,3,2.24503167158947e-05,102,0.982520314807398,0.985375439392324,0.0045169873781018,10.7618839550804,1.25361661116282
"84",20,1e-10,3,1.3296728665901e-05,131,0.982176095521174,0.98544289904974,0.00451688177693682,10.761526954445,1.25361661116282
"125",50,1e-10,3,7.50416368022119e-06,191,0.982297839294629,0.98534599421024,0.00450594572458658,10.760479190416,1.25361661116282
"66",100,1e-10,3,1.49311381006778e-05,95,0.983546846905885,0.98547521980041,0.00451028480922248,10.7604998307413,1.25361661116282
"35",1,1e-05,3,4.74269612791873e-05,56,0.984027188734015,0.986970027692192,0.00454631215047033,10.7615756194609,1.25361661116282
"100",20,1e-05,3,1.13887472504892e-05,161,0.981799099323945,0.985535781552933,0.00451267727908166,10.7614731116978,1.25361661116282
"83",50,1e-05,3,1.27037738961552e-05,122,0.983009473715705,0.985571070366912,0.00450835934581339,10.7605681534954,1.25361661116282
"89",100,1e-05,3,1.1455088136909e-05,134,0.983030484212311,0.985621399206897,0.00451302263405817,10.7604334772647,1.25361661116282
"1",1,0.01,3,0.00618034395329805,0,1,0,0,10.7576014661178,1.25361661116282
"11",20,0.01,3,0.00618034395329805,0,1,0,0,10.7576014661178,1.25361661116282
"12",50,0.01,3,0.00618034395329805,0,1,0,0,10.7576014661178,1.25361661116282
"13",100,0.01,3,0.00618034395329805,0,1,0,0,10.7576014661178,1.25361661116282
