"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","train.lkh","test.lkh"
"1",2,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70053128762679,7.09319728851318
"2",3,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67319078445435,6.12779321670532
"3",4,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70031965862621,7.09336574554443
"4",2,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.6740065574646,6.12739143371582
"5",3,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70078683766452,7.0930256652832
"6",4,"Adam","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67277364730835,6.12743949890137
"7",2,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70064474886114,7.0919465637207
"8",3,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67447175979614,6.12690801620483
"9",4,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70061765584079,7.09261423110962
"10",2,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67287645339966,6.127858543396
"11",3,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70091179067438,7.09286890029907
"12",4,"SGD","LeakyReLU",0.01,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67540006637573,6.12868356704712
"13",2,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.73390976298939,7.13143991470337
"14",3,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.68812942504883,6.12417058944702
"15",4,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.7435500795191,7.14523313522339
"16",2,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.69067821502686,6.12918014526367
"17",3,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.75433744950728,7.14610624313354
"18",4,"Adam","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.69739694595337,6.1292501449585
"19",2,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.7022292137146,7.11770957946777
"20",3,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67194309234619,6.11880855560303
"21",4,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70236958156933,7.13627826690674
"22",2,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.6717809677124,6.125208568573
"23",3,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.73813951665705,7.14445541381836
"24",4,"SGD","LeakyReLU",0.05,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.68670644760132,6.12857885360718
"25",2,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70084044716575,7.09314067840576
"26",3,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67275390625,6.12771434783936
"27",4,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70094781788913,7.09266431808472
"28",2,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67330646514893,6.12788381576538
"29",3,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70080347494646,7.09285797119141
"30",4,"Adam","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67579135894775,6.13070621490479
"31",2,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70093944289468,7.09302066802979
"32",3,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67523164749146,6.12923927307129
"33",4,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70073487975381,7.09266565322876
"34",2,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67505645751953,6.13050479888916
"35",3,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70091736966913,7.09289796829224
"36",4,"SGD","LeakyReLU",0.2,0,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67466478347778,6.13061351776123
"37",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.71168771223588,7.12783628463745
"38",3,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67868204116821,6.12669172286987
"39",4,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,5.72200826298107,7.1276047706604
"40",2,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.68592042922974,6.1264310836792
"41",3,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.73327312902971,7.1360373878479
"42",4,"Adam","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.68435649871826,6.1290638923645
"43",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70103531750766,7.09556917190552
"44",3,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67283658981323,6.12402563095093
"45",4,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70085664662448,7.104697265625
"46",2,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67286252975464,6.12330989837646
"47",3,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70071773529053,7.1023032951355
"48",4,"SGD","LeakyReLU",0.01,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67290821075439,6.11893882751465
"49",2,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70138153596358,7.09371646881104
"50",3,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67496700286865,6.12546796798706
"51",4,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70109561139887,7.09317798614502
"52",2,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67444381713867,6.1299015045166
"53",3,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.71126349622553,7.10391059875488
"54",4,"Adam","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67965936660767,6.12690687179565
"55",2,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70121460394426,7.09394422531128
"56",3,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67421426773071,6.13274736404419
"57",4,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,NA,7.09338804244995
"58",2,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,NA,6.13424463272095
"59",3,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70101065635681,7.09368091583252
"60",4,"SGD","LeakyReLU",0.05,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67823457717896,6.14117259979248
"61",2,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.7324611490423,7.11495143890381
"62",3,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.68495197296143,6.12754955291748
"63",4,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,5.71105286858299,7.13604257583618
"64",2,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.68003644943237,6.12932786941528
"65",3,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.74351477622986,7.14714487075806
"66",4,"Adam","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.69070425033569,6.12966890335083
"67",2,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,NA,NA,5.7006674636494,7.09411785125732
"68",3,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,2,NA,5.67324724197388,6.12639026641846
"69",4,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,2,2,2,2,5.70072308453647,7.09379283905029
"70",2,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67300853729248,6.12664260864258
"71",3,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,10,NA,5.70084862275557,7.09347314834595
"72",4,"SGD","LeakyReLU",0.2,0.2,0,"Efron",1000,"TRUE",20,10,10,10,10,5.67289390563965,6.1272557258606
"73",2,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.7007050297477,7.09234437942505
"74",3,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67288475036621,6.12660427093506
"75",4,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70048079490662,7.09271774291992
"76",2,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67280721664429,6.12681751251221
"77",3,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70067954496904,7.10454256057739
"78",4,"Adam","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67303295135498,6.12649974822998
"79",2,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.70085092457858,7.09296619415283
"80",3,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67354335784912,6.12686948776245
"81",4,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.70082852190191,7.09329818725586
"82",2,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.67276039123535,6.12696361541748
"83",3,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.70096243945035,7.09263263702393
"84",4,"SGD","LeakyReLU",0.01,0,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.67541751861572,6.12680683135986
"85",2,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,2,2,NA,NA,5.72310184998946,7.12594841003418
"86",3,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,2,2,2,NA,5.67939004898071,6.12085695266724
"87",4,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,2,2,2,2,5.74057325449857,7.14701681137085
"88",2,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,10,10,NA,NA,5.69053030014038,6.12960567474365
"89",3,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,10,10,10,NA,5.73414856303822,7.14667066574097
"90",4,"Adam","LeakyReLU",0.05,0,0.2,"Efron",1000,"TRUE",20,10,10,10,10,5.69018564224243,6.12973985671997
