"","num_layers","optim","activation","lr","xi","eps","tie","batch_size","early_stopping","patience","node_1","node_2","node_3","node_4","node_5","node_6","node_7","node_8","node_9","node_10","train.lkh","test.lkh","time"
"1",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.4743908027573,3.58654160499573,78.9415440320969
"2",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.47445554509163,3.58423519134521,118.320289305846
"3",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.47440867986978,3.58373174667358,93.8515006303787
"4",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47439683721394,3.58511381149292,62.0943523089091
"5",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.4746737792016,3.58519492149353,53.2696779290835
"6",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.47483885964603,3.58185877799988,98.7369085709254
"7",2,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47425687259937,3.58549771308899,129.718599947294
"8",6,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47456895286109,3.58561172485352,82.6739673256874
"9",10,"Adam","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,10,10,10,10,3.47475577788781,3.58225197792053,108.227210756143
"10",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,NA,NA,NA,NA,NA,NA,NA,NA,3.47413907416511,3.58284044265747,240.118299663067
"11",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,NA,NA,NA,NA,3.51552718844645,3.6111752986908,68.9543803930283
"12",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,2,2,2,2,2,2,2,2,2,2,3.51553273993033,3.61117563247681,72.1495795369148
"13",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,3.47423533317837,3.58527517318726,75.9314249356588
"14",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,NA,NA,NA,NA,3.51560903179958,3.61117506027222,72.2940438508987
"15",10,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,5,5,5,5,5,5,5,5,5,5,3.51547601229031,3.61117563247681,87.3080124457677
"16",2,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,NA,NA,NA,NA,NA,NA,NA,NA,3.47453905992058,3.58357949256897,66.9159746130308
"17",6,"SGD","LeakyReLU",0.01,0,0,"Efron",100,"TRUE",30,10,10,10,10,10,10,NA,NA,NA,NA,3.47439787109653,3.5815812587738,254.609032348792
